Subject;Area;Word_ID;Accuracy;Type;Word_ID_num;resp_resp
8;cedx;piede;1;Unrelated;67;0
8;cedx;rabbia;1;Unrelated;77;0
8;cedx;ritmo;0;Unrelated;81;1
8;cedx;sapore;1;Unrelated;83;0
8;cedx;scarpa;1;Unrelated;84;0
8;cedx;uomo;1;Unrelated;93;0
8;cz;ago;0;Critical_lure;1;1
8;cz;amaro;0;Critical_lure;4;1
8;cz;bandiera;1;Critical_lure;8;0
8;cz;fiume;1;Critical_lure;31;0
8;cz;ladro;0;Critical_lure;50;1
8;cz;musica;0;Critical_lure;60;1
8;cz;ragno;1;Critical_lure;79;0
8;cz;soffice;1;Critical_lure;88;0
8;cz;alcolico;1;Studied_word;2;1
8;cz;arpa;1;Studied_word;5;1
8;cz;assassino;1;Studied_word;6;1
8;cz;asta;1;Studied_word;7;1
8;cz;bandito;1;Studied_word;9;1
8;cz;cammello;1;Studied_word;16;1
8;cz;concerto;1;Studied_word;19;1
8;cz;corrente;1;Studied_word;20;1
8;cz;digerire;1;Studied_word;23;1
8;cz;dolce;1;Studied_word;24;1
8;cz;dolore;0;Studied_word;27;0
8;cz;filo;1;Studied_word;30;1
8;cz;foce;1;Studied_word;32;1
8;cz;furfante;1;Studied_word;37;1
8;cz;italia;1;Studied_word;48;1
8;cz;italiana;1;Studied_word;49;1
8;cz;materasso;1;Studied_word;56;1
8;cz;morbido;1;Studied_word;58;1
8;cz;mosca;1;Studied_word;59;1
8;cz;nota;1;Studied_word;61;1
8;cz;pesce;1;Studied_word;65;1
8;cz;piume;1;Studied_word;71;1
8;cz;tela;1;Studied_word;90;1
8;cz;velenoso;1;Studied_word;95;1
8;cz;bucata;1;Unrelated;12;0
8;cz;caldo;1;Unrelated;13;0
8;cz;carina;1;Unrelated;18;0
8;cz;forno;1;Unrelated;33;0
8;cz;giovane;1;Unrelated;41;0
8;cz;gomma;1;Unrelated;43;0
8;cz;masticare;1;Unrelated;55;0
8;cz;monarchia;1;Unrelated;57;0
8;cz;pane;1;Unrelated;62;0
8;cz;pasta;1;Unrelated;63;0
8;cz;piacevole;1;Unrelated;66;0
8;cz;potere;1;Unrelated;75;0
8;cz;ragazza;1;Unrelated;78;0
8;cz;re;1;Unrelated;80;0
8;cz;ruota;1;Unrelated;82;0
8;cz;trono;1;Unrelated;92;0
9;cedx;alto;1;Critical_lure;3;0
9;cedx;freddo;1;Critical_lure;35;0
9;cedx;fumo;0;Critical_lure;36;1
9;cedx;giustizia;0;Critical_lure;42;1
9;cedx;lampada;0;Critical_lure;51;1
9;cedx;lento;0;Critical_lure;52;1
9;cedx;penna;0;Critical_lure;64;1
9;cedx;sedia;0;Critical_lure;87;1
9;cedx;basso;1;Studied_word;10;1
9;cedx;calmo;1;Studied_word;14;1
9;cedx;calore;1;Studied_word;15;1
9;cedx;desiderio;1;Studied_word;22;1
9;cedx;equita';0;Studied_word;29;0
9;cedx;ghiaccio;1;Studied_word;39;1
9;cedx;gigante;1;Studied_word;40;1
9;cedx;grattacielo;1;Studied_word;44;1
9;cedx;inchiostro;1;Studied_word;45;1
9;cedx;inquinamento;1;Studied_word;46;1
9;cedx;luce;1;Studied_word;53;1
9;cedx;pioggia;1;Studied_word;68;1
9;cedx;pipa;1;Studied_word;69;1
9;cedx;piuma;1;Studied_word;70;1
9;cedx;polizia;1;Studied_word;72;1
9;cedx;polmoni;1;Studied_word;73;1
9;cedx;poltrona;1;Studied_word;74;1
9;cedx;privata;1;Studied_word;76;1
9;cedx;scomoda;1;Studied_word;85;1
9;cedx;scuola;1;Studied_word;86;1
9;cedx;tavolo;1;Studied_word;89;1
9;cedx;tiepido;1;Studied_word;91;1
9;cedx;valzer;1;Studied_word;94;1
9;cedx;veloce;1;Studied_word;96;1
9;cedx;bello;1;Unrelated;11;0
9;cedx;caramella;1;Unrelated;17;0
9;cedx;crosata;1;Unrelated;21;0
9;cedx;dolce;1;Unrelated;25;0
9;cedx;dolere;1;Unrelated;26;0
9;cedx;donna;1;Unrelated;28;0
9;cedx;forza;1;Unrelated;34;0
9;cedx;furioso;1;Unrelated;38;0
9;cedx;ira;1;Unrelated;47;0
9;cedx;malcontento;1;Unrelated;54;0
9;cedx;piede;1;Unrelated;67;0
9;cedx;rabbia;1;Unrelated;77;0
9;cedx;ritmo;1;Unrelated;81;0
9;cedx;sapore;1;Unrelated;83;0
9;cedx;scarpa;1;Unrelated;84;0
9;cedx;uomo;1;Unrelated;93;0
9;cz;ago;1;Critical_lure;1;0
9;cz;amaro;0;Critical_lure;4;1
9;cz;bandiera;0;Critical_lure;8;1
9;cz;fiume;1;Critical_lure;31;0
9;cz;ladro;1;Critical_lure;50;0
9;cz;musica;1;Critical_lure;60;0
9;cz;ragno;1;Critical_lure;79;0
9;cz;soffice;1;Critical_lure;88;0
9;cz;alcolico;1;Studied_word;2;1
9;cz;arpa;1;Studied_word;5;1
9;cz;assassino;1;Studied_word;6;1
9;cz;asta;1;Studied_word;7;1
9;cz;bandito;1;Studied_word;9;1
9;cz;cammello;1;Studied_word;16;1
9;cz;concerto;1;Studied_word;19;1
9;cz;corrente;1;Studied_word;20;1
9;cz;digerire;1;Studied_word;23;1
9;cz;dolce;1;Studied_word;24;1
9;cz;dolore;1;Studied_word;27;1
9;cz;filo;1;Studied_word;30;1
9;cz;foce;1;Studied_word;32;1
9;cz;furfante;1;Studied_word;37;1
9;cz;italia;1;Studied_word;48;1
9;cz;italiana;1;Studied_word;49;1
9;cz;materasso;1;Studied_word;56;1
9;cz;morbido;1;Studied_word;58;1
9;cz;mosca;1;Studied_word;59;1
9;cz;nota;1;Studied_word;61;1
9;cz;pesce;1;Studied_word;65;1
9;cz;piume;1;Studied_word;71;1
9;cz;tela;0;Studied_word;90;0
9;cz;velenoso;1;Studied_word;95;1
9;cz;bucata;1;Unrelated;12;0
9;cz;caldo;1;Unrelated;13;0
9;cz;carina;1;Unrelated;18;0
9;cz;forno;1;Unrelated;33;0
9;cz;giovane;1;Unrelated;41;0
9;cz;gomma;1;Unrelated;43;0
9;cz;masticare;1;Unrelated;55;0
9;cz;monarchia;1;Unrelated;57;0
9;cz;pane;1;Unrelated;62;0
9;cz;pasta;1;Unrelated;63;0
9;cz;piacevole;1;Unrelated;66;0
9;cz;potere;1;Unrelated;75;0
9;cz;ragazza;1;Unrelated;78;0
9;cz;re;1;Unrelated;80;0
9;cz;ruota;1;Unrelated;82;0
9;cz;trono;1;Unrelated;92;0
10;cedx;ago;1;Critical_lure;1;0
10;cedx;amaro;0;Critical_lure;4;1
10;cedx;bandiera;0;Critical_lure;8;1
10;cedx;fiume;1;Critical_lure;31;0
10;cedx;ladro;0;Critical_lure;50;1
10;cedx;musica;0;Critical_lure;60;1
10;cedx;ragno;0;Critical_lure;79;1
10;cedx;soffice;0;Critical_lure;88;1
10;cedx;alcolico;1;Studied_word;2;1
10;cedx;arpa;1;Studied_word;5;1
10;cedx;assassino;1;Studied_word;6;1
10;cedx;asta;1;Studied_word;7;1
10;cedx;bandito;1;Studied_word;9;1
10;cedx;cammello;1;Studied_word;16;1
10;cedx;concerto;1;Studied_word;19;1
